,month,shift_1,shift_2,shift_3,traffic,criminal,released_personal_recognizance,released_unsecured_bond,committed_with_bond,district_court_bench_warrant,district_court_arrest_warrant,on_view_arrest_soc,circuit_court_warrant
0,2022-10-01T00:00:00.000,140,166,208,67,514,76,88,364,172,138,177,18
1,2022-09-01T00:00:00.000,126,154,193,50,473,77,108,249,193,92,150,23
2,2022-08-01T00:00:00.000,140,171,186,57,497,81,138,248,174,128,227,26
3,2022-07-01T00:00:00.000,133,163,183,48,479,120,94,320,139,115,179,50
4,2022-06-01T00:00:00.000,158,169,193,64,456,114,121,349,186,107,181,30
5,2022-05-01T00:00:00.000,132,151,184,31,436,125,119,262,119,125,156,28
6,2022-04-01T00:00:00.000,126,200,166,25,467,68,115,250,114,124,181,23
7,2022-03-01T00:00:00.000,135,185,176,28,468,84,130,285,120,134,203,30
8,2022-02-01T00:00:00.000,139,126,175,34,406,66,101,258,120,120,152,30
9,2022-01-01T00:00:00.000,101,105,186,30,362,73,108,234,125,132,191,28
10,2021-12-01T00:00:00.000,137,131,154,54,368,87,116,212,126,99,157,20
11,2021-11-01T00:00:00.000,129,141,147,35,382,79,92,273,132,116,144,26
12,2021-10-01T00:00:00.000,155,162,196,37,476,99,140,253,174,125,178,19
13,2021-09-01T00:00:00.000,155,135,207,31,466,95,150,246,146,153,159,26
14,2021-08-01T00:00:00.000,130,164,203,51,446,126,112,258,137,175,147,23
15,2021-07-01T00:00:00.000,125,156,207,28,460,86,123,254,160,153,140,15
16,2021-06-01T00:00:00.000,113,125,165,26,377,80,109,218,103,134,127,23
17,2021-05-01T00:00:00.000,117,133,171,36,385,100,102,205,131,119,128,24
18,2021-04-01T00:00:00.000,116,103,159,30,348,76,103,194,119,93,121,22
19,2021-03-01T00:00:00.000,138,160,195,41,452,64,105,199,123,137,161,32
20,2021-02-01T00:00:00.000,115,100,139,28,326,27,108,130,92,107,121,25
21,2021-01-01T00:00:00.000,123,127,135,25,360,70,92,160,102,91,159,22
22,2020-12-01T00:00:00.000,143,148,138,41,388,57,105,207,121,115,151,14
23,2020-11-01T00:00:00.000,141,113,125,39,340,53,108,162,129,74,145,15
24,2020-10-01T00:00:00.000,165,161,180,61,445,75,145,180,162,140,166,29
25,2020-09-01T00:00:00.000,124,136,165,38,387,57,88,166,116,125,146,21
26,2020-08-01T00:00:00.000,133,121,168,29,393,59,117,185,132,100,159,146
27,2020-07-01T00:00:00.000,162,126,174,31,431,73,119,202,108,132,171,21
28,2020-06-01T00:00:00.000,109,102,146,32,325,66,94,144,115,83,135,25
29,2020-05-01T00:00:00.000,129,105,158,30,362,60,125,166,99,56,211,15
30,2020-04-01T00:00:00.000,90,90,103,26,257,55,65,131,77,36,139,14
31,2020-03-01T00:00:00.000,191,184,275,107,543,126,151,226,252,123,224,37
32,2020-02-01T00:00:00.000,248,226,324,182,616,127,254,289,331,125,287,42
33,2020-01-01T00:00:00.000,263,266,341,147,723,168,167,305,347,181,282,41
34,2019-12-01T00:00:00.000,218,224,292,128,606,158,170,223,287,136,243,43
35,2019-11-01T00:00:00.000,252,237,283,124,648,217,141,274,303,148,273,38
36,2019-10-01T00:00:00.000,277,259,337,165,708,243,146,294,389,153,282,37
37,2019-09-01T00:00:00.000,269,247,318,156,678,164,164,272,365,147,270,39
38,2019-08-01T00:00:00.000,299,259,287,198,845,181,169,298,396,133,277,43
39,2019-07-01T00:00:00.000,260,255,325,140,700,144,202,272,321,165,299,37
40,2019-06-01T00:00:00.000,286,241,299,152,674,107,245,304,351,169,303,29
41,2019-05-01T00:00:00.000,325,296,299,168,752,177,178,303,377,184,300,50
42,2019-04-01T00:00:00.000,293,275,327,170,725,175,205,281,359,175,312,40
43,2019-03-01T00:00:00.000,281,273,353,189,718,166,165,339,364,181,308,47
44,2019-02-01T00:00:00.000,301,255,351,194,713,195,162,313,391,179,292,38
45,2019-01-01T00:00:00.000,290,255,346,148,743,148,174,354,373,176,296,42
46,2018-12-01T00:00:00.000,270,232,308,144,666,142,182,326,319,165,296,28
47,2018-11-01T00:00:00.000,276,224,290,143,647,167,188,283,300,152,299,43
48,2018-10-01T00:00:00.000,349,274,362,176,809,200,265,357,393,203,333,44
49,2018-09-01T00:00:00.000,245,260,356,168,693,156,214,319,328,169,315,37
50,2018-08-01T00:00:00.000,275,310,405,212,778,126,299,340,416,183,339,49
51,2018-07-01T00:00:00.000,304,270,338,172,740,169,257,301,366,160,323,54
52,2018-06-01T00:00:00.000,288,252,358,182,716,127,210,282,362,173,308,44
53,2018-05-01T00:00:00.000,330,240,331,184,717,155,244,279,400,170,296,34
54,2018-04-01T00:00:00.000,295,288,344,196,731,136,208,267,416,152,294,52
55,2018-03-01T00:00:00.000,349,263,352,216,748,165,223,278,436,181,292,46
56,2018-02-01T00:00:00.000,329,254,314,203,694,157,151,239,433,144,276,35
57,2018-01-01T00:00:00.000,300,220,377,182,715,190,181,285,393,152,290,42
58,2017-12-01T00:00:00.000,288,246,334,147,721,207,152,248,376,141,301,37
59,2017-11-01T00:00:00.000,301,239,331,183,688,197,199,239,383,138,301,45
60,2017-10-01T00:00:00.000,346,237,375,204,754,163,140,191,443,134,315,58
61,2017-09-01T00:00:00.000,327,274,363,191,773,212,223,284,448,137,310,63
62,2017-08-01T00:00:00.000,343,295,383,194,827,253,289,260,454,168,351,43
63,2017-07-01T00:00:00.000,323,267,339,159,770,209,225,263,385,183,307,43
64,2017-06-01T00:00:00.000,349,262,340,157,951,213,186,293,396,178,308,49
65,2017-05-01T00:00:00.000,299,271,363,193,933,216,188,283,428,139,309,52
66,2017-04-01T00:00:00.000,288,287,304,199,879,196,165,275,424,150,263,41
67,2017-03-01T00:00:00.000,313,299,334,197,946,198,250,297,413,162,309,55
68,2017-02-01T00:00:00.000,319,267,320,213,906,261,210,221,422,150,292,47
69,2017-01-01T00:00:00.000,333,266,336,195,935,212,264,168,383,182,298,60
70,2016-12-01T00:00:00.000,282,260,314,181,856,,,,,,,
71,2016-11-01T00:00:00.000,309,260,312,155,881,,,,,,,
72,2016-10-01T00:00:00.000,321,267,348,211,936,,,,,,,
73,2016-09-01T00:00:00.000,339,287,340,207,966,,,,,,,
74,2016-08-01T00:00:00.000,307,309,367,247,983,,,,,,,
75,2016-07-01T00:00:00.000,326,288,366,210,980,,,,,,,
