,school_name,zip_code,location,city,:@computed_region_vu5j_pcmz,address,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,latitude,url,:@computed_region_tx5f_5em3,category,longitude,:@computed_region_rbt8_3x7n,phone
0,Bethesda ES,20814,"{'latitude': '38.9864595389', 'human_address': '{""address"": ""7600 Arlington Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.0998645245'}",Bethesda,1,7600 Arlington Rd,111,12,38.9864595389,http://www.montgomeryschoolsmd.org/schools/bethesdaes,1,ELEMENTARY SCHOOLS,-77.0998645245,1,301-657-4979
1,Garrett Park ES (at Grosvenor Center),20814,"{'latitude': '39.0235338133', 'human_address': '{""address"": ""5701 Grosvenor La"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.1141310594'}",Bethesda,1,5701 Grosvenor La,111,19,39.0235338133,http://www.montgomeryschoolsmd.org/schools/garrettparkes,1,ELEMENTARY SCHOOLS,-77.1141310594,1,301-929-2170
2,Somerset ES,20815,"{'latitude': '38.9691922144', 'human_address': '{""address"": ""5811 Warwick Pl"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.092408162'}",Chevy Chase,1,5811 Warwick Pl,110,5,38.9691922144,http://www.montgomeryschoolsmd.org/schools/somersetes,1,ELEMENTARY SCHOOLS,-77.092408162,7,301-657-4985
3,Chevy Chase ES,20815,"{'latitude': '38.9785671729', 'human_address': '{""address"": ""4015 Rosemary St"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.0802384598'}",Chevy Chase,1,4015 Rosemary St,110,5,38.9785671729,http://www.montgomeryschoolsmd.org/schools/chevychasees,1,ELEMENTARY SCHOOLS,-77.0802384598,20,301-657-4994
4,Rock Creek Forest ES,20815,"{'latitude': '38.9922962885', 'human_address': '{""address"": ""8330 Grubb Rd"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.0512978748'}",Chevy Chase,1,8330 Grubb Rd,110,5,38.9922962885,http://www.montgomeryschoolsmd.org/schools/rcforestes,1,ELEMENTARY SCHOOLS,-77.0512978748,1,301-650-6410
5,North Chevy Chase ES,20815,"{'latitude': '38.9987705251', 'human_address': '{""address"": ""3700 Jones Bridge Rd"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.073432352'}",Chevy Chase,1,3700 Jones Bridge Rd,110,5,38.9987705251,http://www.montgomeryschoolsmd.org/schools/nchevychasees,1,ELEMENTARY SCHOOLS,-77.073432352,1,301-657-4950
6,Westbrook ES,20816,"{'latitude': '38.9584710865', 'human_address': '{""address"": ""5110 Allan Ter"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20816""}', 'needs_recoding': False, 'longitude': '-77.1028193264'}",Bethesda,1,5110 Allan Ter,107,12,38.9584710865,http://www.montgomeryschoolsmd.org/schools/westbrookes,1,ELEMENTARY SCHOOLS,-77.1028193264,1,301-320-6506
7,Wood Acres ES,20816,"{'latitude': '38.9675865435', 'human_address': '{""address"": ""5800 Cromwell Dr"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20816""}', 'needs_recoding': False, 'longitude': '-77.1186718959'}",Bethesda,1,5800 Cromwell Dr,107,12,38.9675865435,http://www.montgomeryschoolsmd.org/schools/woodacreses,1,ELEMENTARY SCHOOLS,-77.1186718959,1,301-320-6502
8,Seven Locks ES (at Radnor Center),20817,"{'latitude': '38.9790958064', 'human_address': '{""address"": ""7000 Radnor Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.114718632'}",Bethesda,1,7000 Radnor Rd,103,12,38.9790958064,http://www.montgomeryschoolsmd.org/schools/sevenlockses,1,ELEMENTARY SCHOOLS,-77.114718632,1,301-469-1038
9,Seven Locks ES (Construction),20817,"{'latitude': '39.0123627913', 'human_address': '{""address"": ""9500 Seven Locks Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.16113969'}",Bethesda,1,9500 Seven Locks Rd,103,12,39.0123627913,http://www.montgomeryschoolsmd.org/schools/sevenlockses,1,ELEMENTARY SCHOOLS,-77.16113969,1,301-469-1038
10,Bannockburn ES,20817,"{'latitude': '38.974375007', 'human_address': '{""address"": ""6520 Dalroy La"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1383339932'}",Bethesda,1,6520 Dalroy La,103,12,38.974375007,http://www.montgomeryschoolsmd.org/schools/bannockburnes,1,ELEMENTARY SCHOOLS,-77.1383339932,1,301-320-6555
11,Carderock Springs ES,20817,"{'latitude': '38.9832956271', 'human_address': '{""address"": ""7401 Persimmon Tree La"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1717600546'}",Bethesda,1,7401 Persimmon Tree La,103,12,38.9832956271,http://www.montgomeryschoolsmd.org/schools/carderockspringses,1,ELEMENTARY SCHOOLS,-77.1717600546,1,301-469-1034
12,Wyngate ES,20817,"{'latitude': '39.0093256299', 'human_address': '{""address"": ""9300 Wadsworth Dr"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1282437122'}",Bethesda,1,9300 Wadsworth Dr,103,12,39.0093256299,http://www.montgomeryschoolsmd.org/schools/wyngatees,1,ELEMENTARY SCHOOLS,-77.1282437122,1,301-571-6979
13,Bradley Hills ES,20817,"{'latitude': '38.9996852991', 'human_address': '{""address"": ""8701 Hartsdale Ave"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.118061653'}",Bethesda,1,8701 Hartsdale Ave,103,12,38.9996852991,http://www.montgomeryschoolsmd.org/schools/bradleyhillses,1,ELEMENTARY SCHOOLS,-77.118061653,1,301-571-6966
14,Burning Tree ES,20817,"{'latitude': '38.9899689499', 'human_address': '{""address"": ""7900 Beech Tree Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1433852431'}",Bethesda,1,7900 Beech Tree Rd,103,12,38.9899689499,http://www.montgomeryschoolsmd.org/schools/burningtreees,1,ELEMENTARY SCHOOLS,-77.1433852431,1,301-320-6510
15,Ashburton ES,20817,"{'latitude': '39.0194442555', 'human_address': '{""address"": ""6314 Lone Oak Dr"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1277212211'}",Bethesda,1,6314 Lone Oak Dr,103,12,39.0194442555,http://www.montgomeryschoolsmd.org/schools/ashburtones,1,ELEMENTARY SCHOOLS,-77.1277212211,1,301-571-6959
16,Belmont ES,20832,"{'latitude': '39.1785814737', 'human_address': '{""address"": ""19528 Olney Mill Rd"", ""city"": ""Olney"", ""state"": ""MD"", ""zip"": ""20832""}', 'needs_recoding': False, 'longitude': '-77.0668029032'}",Olney,4,19528 Olney Mill Rd,100,58,39.1785814737,http://www.montgomeryschoolsmd.org/schools/belmontes,4,ELEMENTARY SCHOOLS,-77.0668029032,1,301-924-3140
17,Olney ES,20832,"{'latitude': '39.1492298699', 'human_address': '{""address"": ""3401 Queen Mary Dr"", ""city"": ""Olney"", ""state"": ""MD"", ""zip"": ""20832""}', 'needs_recoding': False, 'longitude': '-77.0682809714'}",Olney,4,3401 Queen Mary Dr,100,58,39.1492298699,http://www.montgomeryschoolsmd.org/schools/olneyes,4,ELEMENTARY SCHOOLS,-77.0682809714,1,301-924-3126
18,Brooke Grove ES,20832,"{'latitude': '39.1568438213', 'human_address': '{""address"": ""2700 Spartan Rd"", ""city"": ""Olney"", ""state"": ""MD"", ""zip"": ""20832""}', 'needs_recoding': False, 'longitude': '-77.0505720393'}",Olney,4,2700 Spartan Rd,100,58,39.1568438213,http://www.montgomeryschoolsmd.org/schools/brookegrovees,4,ELEMENTARY SCHOOLS,-77.0505720393,1,301-924-3154
19,Greenwood ES,20833,"{'latitude': '39.1652320194', 'human_address': '{""address"": ""3336 Gold Mine Rd"", ""city"": ""Brookeville"", ""state"": ""MD"", ""zip"": ""20833""}', 'needs_recoding': False, 'longitude': '-77.0647632594'}",Brookeville,4,3336 Gold Mine Rd,99,58,39.1652320194,http://www.montgomeryschoolsmd.org/schools/greenwoodes,4,ELEMENTARY SCHOOLS,-77.0647632594,1,301-924-3145
20,Poolesville ES,20837,"{'latitude': '39.1440313164', 'human_address': '{""address"": ""19565 Fisher Ave"", ""city"": ""Poolesville"", ""state"": ""MD"", ""zip"": ""20837""}', 'needs_recoding': False, 'longitude': '-77.4074075374'}",Poolesville,1,19565 Fisher Ave,97,34,39.1440313164,http://www.montgomeryschoolsmd.org/schools/poolesvillees,1,ELEMENTARY SCHOOLS,-77.4074075374,16,301-972-7960
21,Monocacy ES,20842,"{'latitude': '39.224265906', 'human_address': '{""address"": ""18801 Barnesville Rd"", ""city"": ""Dickerson"", ""state"": ""MD"", ""zip"": ""20842""}', 'needs_recoding': False, 'longitude': '-77.392841199'}",Dickerson,2,18801 Barnesville Rd,74,41,39.224265906,http://www.montgomeryschoolsmd.org/schools/monocacyes,2,ELEMENTARY SCHOOLS,-77.392841199,1,301-972-7990
22,Beall ES,20850,"{'latitude': '39.0877753931', 'human_address': '{""address"": ""451 Beall Ave"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20850""}', 'needs_recoding': False, 'longitude': '-77.161758368'}",Rockville,3,451 Beall Ave,71,25,39.0877753931,http://www.montgomeryschoolsmd.org/schools/bealles,3,ELEMENTARY SCHOOLS,-77.161758368,12,301-279-8460
23,Fallsmead ES,20850,"{'latitude': '39.0779606451', 'human_address': '{""address"": ""1800 Greenplace Ter"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20850""}', 'needs_recoding': False, 'longitude': '-77.1765379964'}",Rockville,3,1800 Greenplace Ter,71,25,39.0779606451,http://www.montgomeryschoolsmd.org/schools/fallsmeades,3,ELEMENTARY SCHOOLS,-77.1765379964,12,301-279-4984
24,College Gardens ES,20850,"{'latitude': '39.1028873778', 'human_address': '{""address"": ""1700 Yale Pl"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20850""}', 'needs_recoding': False, 'longitude': '-77.1627838116'}",Rockville,3,1700 Yale Pl,71,25,39.1028873778,http://www.montgomeryschoolsmd.org/schools/collegegardenses,3,ELEMENTARY SCHOOLS,-77.1627838116,12,301-279-8470
25,Maryvale ES,20850,"{'latitude': '39.0912671214', 'human_address': '{""address"": ""1000 First St"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20850""}', 'needs_recoding': False, 'longitude': '-77.1369670183'}",Rockville,3,1000 First St,71,25,39.0912671214,http://www.montgomeryschoolsmd.org/schools/maryvalees,3,ELEMENTARY SCHOOLS,-77.1369670183,12,301-279-4990
26,Meadow Hall ES,20851,"{'latitude': '39.0843521349', 'human_address': '{""address"": ""951 Twinbrook Pkwy"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20851""}', 'needs_recoding': False, 'longitude': '-77.1164059038'}",Rockville,3,951 Twinbrook Pkwy,68,25,39.0843521349,http://www.montgomeryschoolsmd.org/schools/meadowhalles,3,ELEMENTARY SCHOOLS,-77.1164059038,12,301-279-4988
27,Twinbrook ES,20851,"{'latitude': '39.0687280318', 'human_address': '{""address"": ""5911 Ridgeway Ave"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20851""}', 'needs_recoding': False, 'longitude': '-77.1200953184'}",Rockville,3,5911 Ridgeway Ave,68,25,39.0687280318,http://www.montgomeryschoolsmd.org/schools/twinbrookes,3,ELEMENTARY SCHOOLS,-77.1200953184,12,301-230-5925
28,Farmland ES,20852,"{'latitude': '39.0471937956', 'human_address': '{""address"": ""7000 Old Gate Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20852""}', 'needs_recoding': False, 'longitude': '-77.1452755671'}",Rockville,1,7000 Old Gate Rd,60,19,39.0471937956,http://www.montgomeryschoolsmd.org/schools/farmlandes,1,ELEMENTARY SCHOOLS,-77.1452755671,1,301-230-5919
29,Luxmanor ES,20852,"{'latitude': '39.0448713701', 'human_address': '{""address"": ""6201 Tilden La"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20852""}', 'needs_recoding': False, 'longitude': '-77.1272246138'}",Rockville,1,6201 Tilden La,60,19,39.0448713701,http://www.montgomeryschoolsmd.org/schools/luxmanores,1,ELEMENTARY SCHOOLS,-77.1272246138,1,301-230-5914
30,Cashell ES,20853,"{'latitude': '39.1373140735', 'human_address': '{""address"": ""17101 Cashell Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.0859177884'}",Rockville,4,17101 Cashell Rd,100,58,39.1373140735,http://www.montgomeryschoolsmd.org/schools/cashelles,4,ELEMENTARY SCHOOLS,-77.0859177884,1,301-924-3130
31,Lucy V Barnsley ES,20853,"{'latitude': '39.0941208289', 'human_address': '{""address"": ""14516 Nadine Dr"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.103587056'}",Rockville,3,14516 Nadine Dr,58,61,39.0941208289,http://www.montgomeryschoolsmd.org/schools/barnsleyes,3,ELEMENTARY SCHOOLS,-77.103587056,1,301-460-2121
32,Flower Valley ES,20853,"{'latitude': '39.1057704102', 'human_address': '{""address"": ""4615 Sunflower Dr"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.0930515019'}",Rockville,3,4615 Sunflower Dr,58,61,39.1057704102,http://www.montgomeryschoolsmd.org/schools/flowervalleyes,3,ELEMENTARY SCHOOLS,-77.0930515019,1,301-924-3135
33,Lakewood ES,20853,"{'latitude': '39.0879540935', 'human_address': '{""address"": ""2534 Lindley Ter"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.1940772943'}",Rockville,3,2534 Lindley Ter,71,25,39.0879540935,http://www.montgomeryschoolsmd.org/schools/lakewoodes,3,ELEMENTARY SCHOOLS,-77.1940772943,12,301-279-8465
34,Brookhaven ES,20853,"{'latitude': '39.0822509877', 'human_address': '{""address"": ""4610 Renn St"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.0925980063'}",Rockville,3,4610 Renn St,58,61,39.0822509877,http://www.montgomeryschoolsmd.org/schools/brookhavenes,3,ELEMENTARY SCHOOLS,-77.0925980063,1,301-460-2140
35,Rock Creek Valley ES,20853,"{'latitude': '39.0832114316', 'human_address': '{""address"": ""5121 Russett Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.102608554'}",Rockville,3,5121 Russett Rd,58,61,39.0832114316,http://www.montgomeryschoolsmd.org/schools/rcvalleyes,3,ELEMENTARY SCHOOLS,-77.102608554,1,301-460-2195
36,Wheaton Woods ES,20853,"{'latitude': '39.0682491425', 'human_address': '{""address"": ""4510 Faroe Pl"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.0902208543'}",Rockville,4,4510 Faroe Pl,58,61,39.0682491425,http://www.montgomeryschoolsmd.org/schools/wheatonwoodses,4,ELEMENTARY SCHOOLS,-77.0902208543,1,301-929-2018
37,Beverly Farms ES (at North Lake Center),20853,"{'latitude': '39.1027313861', 'human_address': '{""address"": ""15101 Bauer Dr"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20853""}', 'needs_recoding': False, 'longitude': '-77.1040071157'}",Rockville,3,15101 Bauer Dr,58,61,39.1027313861,http://www.montgomeryschoolsmd.org/schools/beverlyfarmses,3,ELEMENTARY SCHOOLS,-77.1040071157,1,301-469-1050
38,Cold Spring ES,20854,"{'latitude': '39.0592190026', 'human_address': '{""address"": ""9201 Falls Chapel Way"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.1888641311'}",Potomac,3,9201 Falls Chapel Way,53,20,39.0592190026,http://www.montgomeryschoolsmd.org/schools/coldspringes,3,ELEMENTARY SCHOOLS,-77.1888641311,1,301-279-8480
39,Bells Mill ES,20854,"{'latitude': '39.0320119149', 'human_address': '{""address"": ""8225 Bells Mill Rd"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.1687400874'}",Potomac,1,8225 Bells Mill Rd,53,20,39.0320119149,http://www.montgomeryschoolsmd.org/schools/bellsmilles,1,ELEMENTARY SCHOOLS,-77.1687400874,1,301-469-1046
40,Wayside ES,20854,"{'latitude': '39.0475503295', 'human_address': '{""address"": ""10011 Glen Rd"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.2061907116'}",Potomac,1,10011 Glen Rd,53,20,39.0475503295,http://www.montgomeryschoolsmd.org/schools/waysidees,1,ELEMENTARY SCHOOLS,-77.2061907116,1,301-279-8484
41,Potomac ES,20854,"{'latitude': '39.0216533251', 'human_address': '{""address"": ""10311 River Rd"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.2132952636'}",Potomac,1,10311 River Rd,53,20,39.0216533251,http://www.montgomeryschoolsmd.org/schools/potomaces,1,ELEMENTARY SCHOOLS,-77.2132952636,1,301-469-1042
42,Beverly Farms ES (Construction),20854,"{'latitude': '39.052145262', 'human_address': '{""address"": ""8501 Post Oak Rd"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.1763322374'}",Potomac,1,8501 Post Oak Rd,53,20,39.052145262,http://www.montgomeryschoolsmd.org/schools/beverlyfarmses,1,ELEMENTARY SCHOOLS,-77.1763322374,1,301-469-1050
43,Ritchie Park ES,20854,"{'latitude': '39.0631353305', 'human_address': '{""address"": ""1514 Dunster Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.1744365305'}",Rockville,3,1514 Dunster Rd,53,25,39.0631353305,http://www.montgomeryschoolsmd.org/schools/ritchieparkes,3,ELEMENTARY SCHOOLS,-77.1744365305,12,301-279-8475
44,Mill Creek Towne ES,20855,"{'latitude': '39.146421794', 'human_address': '{""address"": ""17700 Park Mill Dr"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20855""}', 'needs_recoding': False, 'longitude': '-77.1538014464'}",Rockville,4,17700 Park Mill Dr,51,36,39.146421794,http://www.montgomeryschoolsmd.org/schools/mctes,4,ELEMENTARY SCHOOLS,-77.1538014464,1,301-840-7149
